Date	Open	High	Low	Close	Change (Pips)	Change (%)
Mar 28, 2019 17:00	1.12273	1.12367	1.12247	1.12356	+8.3	+0.07%
Mar 28, 2019 16:00	1.12357	1.1236	1.12155	1.12274	-8.3	-0.07%
Mar 28, 2019 15:00	1.12341	1.12387	1.12218	1.12357	+1.6	+0.01%
Mar 28, 2019 14:00	1.12173	1.12369	1.12173	1.12342	+16.9	+0.15%
Mar 28, 2019 13:00	1.12215	1.12309	1.12138	1.12175	-4.0	-0.04%
Mar 28, 2019 12:00	1.1226	1.12336	1.12208	1.12213	-4.7	-0.04%
Mar 28, 2019 11:00	1.12515	1.12517	1.12239	1.12255	-26.0	-0.23%
Mar 28, 2019 10:00	1.12554	1.12586	1.12472	1.12521	-3.3	-0.03%
Mar 28, 2019 09:00	1.12523	1.12589	1.12501	1.12551	+2.8	+0.02%
Mar 28, 2019 08:00	1.12384	1.1255	1.12343	1.12525	+14.1	+0.13%
Mar 28, 2019 07:00	1.12562	1.12606	1.12368	1.12382	-18.0	-0.16%
Mar 28, 2019 06:00	1.12567	1.12612	1.12552	1.12563	-0.4	+0.00%
Mar 28, 2019 05:00	1.12548	1.12582	1.12535	1.12569	+2.1	+0.02%
Mar 28, 2019 04:00	1.12548	1.12555	1.12524	1.1255	+0.2	+0.00%
Mar 28, 2019 03:00	1.12553	1.12579	1.12528	1.12549	-0.4	+0.00%
Mar 28, 2019 02:00	1.12457	1.12553	1.12456	1.12551	+9.4	+0.08%
Mar 28, 2019 01:00	1.12482	1.12534	1.12432	1.12457	-2.5	-0.02%
Mar 28, 2019 00:00	1.12522	1.12543	1.12473	1.12483	-3.9	-0.03%
Mar 27, 2019 23:00	1.12491	1.12522	1.12476	1.1252	+2.9	+0.03%
Mar 27, 2019 22:00	1.12511	1.12529	1.12492	1.12494	-1.7	-0.02%
Mar 27, 2019 21:00	1.12437	1.12546	1.12437	1.12514	+7.7	+0.07%
Mar 27, 2019 20:00	1.12513	1.12513	1.12436	1.12441	-7.2	-0.06%
Mar 27, 2019 19:00	1.12642	1.12644	1.12474	1.12513	-12.9	-0.11%
Mar 27, 2019 18:00	1.12538	1.12653	1.1252	1.1264	+10.2	+0.09%
Mar 27, 2019 17:00	1.12633	1.12677	1.12516	1.12542	-9.1	-0.08%
Mar 27, 2019 16:00	1.12509	1.12657	1.1244	1.1263	+12.1	+0.11%
Mar 27, 2019 15:00	1.12519	1.12568	1.12422	1.1251	-0.9	-0.01%
Mar 27, 2019 14:00	1.12587	1.12604	1.12439	1.12519	-6.8	-0.06%
Mar 27, 2019 13:00	1.12716	1.12722	1.12484	1.12588	-12.8	-0.11%
Mar 27, 2019 12:00	1.12807	1.12829	1.12661	1.12713	-9.4	-0.08%
Mar 27, 2019 11:00	1.12776	1.12842	1.12678	1.12804	+2.8	+0.02%
Mar 27, 2019 10:00	1.12801	1.12855	1.12745	1.12777	-2.4	-0.02%
